species,CLMcwd,CLMprecip,CLMtemp,CLMsummertemp,saddleName
Sibbaldia procumbens,140.4,1038.8,0.7,9.7,Sibbaldia procumbens
Silene acaulis var. subacaulescens,179.1,663.3,-0.4,9.6,Silene acaulis var. subacaulescens
Solidago multiradiata,142.1,738.9,-0.8,10.2,Solidago multiradiata
Solidago simplex subsp. simplex,328,593.6,2.5,12.2,Solidago simplex ssp. simplex var. nana
Stellaria longipes,198.8,560.9,-1.6,10.8,Stellaria longipes
Taraxacum officinale,484.7,973.1,15.4,23.2,Taraxacum officinale
Tetraneuris acaulis var. caespitosa,440.8,516.2,2.7,12.7,Tetraneuris acaulis var. caespitosa
Tetraneuris grandiflora,194.1,650.5,-0.2,9.3,Tetraneuris grandiflora
Tonestus pygmaeus,183.2,672,-0.3,9.2,Tonestus pygmaeus
Trifolium dasyphyllum,234,603.2,0.1,9.7,Trifolium dasyphyllum
Trifolium nanum,172.3,674.1,-0.6,8.9,Trifolium nanum
Trifolium parryi subsp. parryi,197.2,636.7,-0.4,9.1,Trifolium parryi subsp. parryi
Trisetum spicatum,151.3,727.5,-0.6,10.4,Trisetum spicatum
Veronica wormskjoldii,125.8,1188.1,1.1,9.8,Veronica wormskjoldii
