"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","slope","aspect","aspect_norhtness","aspect_eastness","dtm","NDVI","SAVI"
"Saddle Pt Quad 01",40.0554976768,-105.593512253,3565.484,7.48238464502188,129.021307725173,-0.578490790325715,0.715117669809894,3566.26032902644,0.0585199422561205,0.0368686338456777
"Saddle Pt Quad 02",40.0553968434,-105.592895912,3555.614,8.56907136099679,128.070501055036,-0.616531647082894,0.787125071202447,3556.44295828683,0.7749205998012,0.498175972274372
"Saddle Pt Quad 03",40.0553182797,-105.592307529,3547.762,10.8629999955495,120.62174987793,-0.508391555318416,0.858840792422024,3548.34352620443,0.822391420602798,0.56733958174785
"Saddle Pt Quad 04",40.0551863042,-105.591759652,3541.242,6.63846147977389,108.098383976863,-0.309263241822639,0.94612460072153,3541.86057692308,0.616738117658175,0.337846783491281
"Saddle Pt Quad 05",40.0550829683,-105.591201073,3535.568,5.9832727692344,123.108182040128,-0.54016791890633,0.828293479179867,3536.01573597301,0.600343574177135,0.353569120168686
"Saddle Pt Quad 06",40.0549849357,-105.590704481,3531.087,5.59200000762939,146.2449998122,-0.82463606889286,0.550887030772057,3532.00661057692,0.675598162871141,0.386981102136465
"Saddle Pt Quad 07",40.0548564645,-105.590135758,3528.356,0.979818184267391,194.339362404563,-0.25142049334796,0.0826267738500359,3529.58744673295,0.821092448451302,0.523463493043726
"Saddle Pt Quad 08",40.0547156126,-105.589492387,3528.187,2.8893076639909,213.264461810772,-0.433984929849093,-0.297332622855132,3528.13346980168,0.621549899761493,0.391385901432771
"Saddle Pt Quad 09",40.0546036046,-105.588994637,3527.382,4.48300000031789,281.411582946777,0.192559932540382,-0.959967321693154,3529.27156575521,0.512620357175668,0.303032246728738
"Saddle Pt Quad 10",40.0545162725,-105.588372589,3533.715,10.7443332672119,231.313996632894,-0.624950206410569,-0.780457702504983,3534.51249186198,0.436494986216227,0.27914867301782
"Saddle Pt Quad 10A",40.0543984643,-105.587802465,3539.433,8.0759230026832,202.53546494704,-0.921762345750342,-0.382454917161569,3538.77693058894,0.293573841452599,0.183458821131633
"Saddle Pt Quad 11",40.0559395668,-105.59341658,3569.739,12.7445453297008,112.284817782315,-0.378782214374243,0.924304199886949,3570.73011363636,0.25367617403919,0.149081138385968
"Saddle Pt Quad 12",40.0558010506,-105.592748191,3558.653,12.9480001009428,127.105154771071,-0.603240825148732,0.797478455324773,3558.80433067909,0.419339035566037,0.244172232655378
"Saddle Pt Quad 13",40.0557318982,-105.592190359,3548.872,9.22269241626446,96.6527692354642,-0.115593369489117,0.991042162343543,3549.56621844952,0.204057057603047,0.128038549509186
"Saddle Pt Quad 14",40.0556441326,-105.591684788,3542.575,11.147769341102,114.141308124249,-0.408104350366543,0.910510844019019,3543.56353290264,0.416744209252871,0.233235659507605
"Saddle Pt Quad 15",40.0555192941,-105.591060151,3537.023,4.46935714994158,69.6575717926025,0.335617208754845,0.895317925725383,3536.73746163504,0.548955742801939,0.291096942765372
"Saddle Pt Quad 16",40.0553656701,-105.590542606,3532.149,3.78692856856755,111.885713849749,-0.372394156962183,0.926989698044923,3532.86343819754,0.641052177974156,0.357950589486531
"Saddle Pt Quad 17",40.0552987138,-105.58993715,3528.725,3.87027269059961,161.651365800337,-0.907866508969336,0.301526344759589,3530.80828302557,0.569504125551744,0.345001391389153
"Saddle Pt Quad 18",40.0551819228,-105.589427149,3530.359,1.89571430427688,189.033215659005,-0.731116793460002,0.0276048281522494,3530.67578125,0.489708949412618,0.297577545046806
"Saddle Pt Quad 19",40.0550571344,-105.588807984,3531.503,5.23538461098304,261.752387413612,-0.143300393377695,-0.988691647821753,3533.14639047476,0.477929550867814,0.29078685091092
"Saddle Pt Quad 20",40.0549543377,-105.58822912,3538.602,8.88057143347604,274.502214704241,0.0784416016314088,-0.996121571731089,3539.94794573103,0.308088609150478,0.198613849069391
"Saddle Pt Quad 20A",40.0547820778,-105.587672571,3544.369,4.43785715103149,153.590642656599,-0.869349791161513,0.433573648527882,3543.89046805246,0.358154313904898,0.221712676542146
"Saddle Pt Quad 21",40.0563377859,-105.593162759,3570.988,14.2625385431143,119.357001084548,-0.48845051999739,0.868404313596957,3571.13217397837,0.296698165627626,0.183165214955807
"Saddle Pt Quad 22",40.0562742312,-105.592659397,3561.683,12.3346924415002,94.7174618060772,-0.0817203115983306,0.99109964120189,3561.77482722356,0.620767400814937,0.396317791480284
"Saddle Pt Quad 23",40.0561658281,-105.592031893,3549.991,13.5238571848188,111.958357129778,-0.371421812328269,0.921717168277572,3550.34422084263,0.282792816204684,0.171772153249809
"Saddle Pt Quad 24",40.0560121496,-105.591446479,3541.385,3.357727245851,83.1871809525923,0.115284697467991,0.957917604589621,3542.32135564631,0.606198836456646,0.328769458965822
"Saddle Pt Quad 25",40.0559041144,-105.590922218,3536.989,4.03985714912415,92.3408590044294,-0.0406941346706075,0.996714781352392,3536.94744001116,0.602487070219857,0.310202209012849
"Saddle Pt Quad 26",40.0558185394,-105.590349894,3532.565,4.07099997997284,110.918916066488,-0.356036332792174,0.931447198876469,3533.2353515625,0.680745070179304,0.411751163502534
"Saddle Pt Quad 27",40.0557358454,-105.589848237,3529.794,2.76341668268045,65.4574168523153,0.36625289217251,0.761136236383162,3530.97076416016,0.623846232891083,0.393084786832333
"Saddle Pt Quad 28",40.0556186576,-105.58923374,3530.133,1.37800001639586,290.374003116901,0.690806970705867,-0.624385071708189,3530.89776141827,0.569219699272743,0.337246218552956
"Saddle Pt Quad 29",40.0554681471,-105.588678108,3532.618,2.56623076475584,308.070303109976,0.611401408928393,-0.780054391692602,3533.35426682692,0.524546063863314,0.333376634579438
"Saddle Pt Quad 30",40.0553928871,-105.588087847,3536.463,9.13807685558612,313.896536020132,0.691149274253473,-0.718282847162891,3538.12560096154,0.378881990909576,0.238353534386708
"Saddle Pt Quad 30A",40.055316031,-105.587589634,3543.099,8.55892309775719,349.124152550331,0.978282695106394,-0.187888248137647,3542.28389798678,0.245461310331638,0.14588127629115
"Saddle Pt Quad 31",40.056837225,-105.593071392,3571.115,12.2227692970863,80.5785372807429,0.158038168738656,0.956583842118253,3572.02306189904,0.500673117545935,0.309062710175147
"Saddle Pt Quad 32",40.0566995847,-105.592536126,3561.285,12.7264999548594,92.1859169006348,-0.0376575581552584,0.988673473264623,3562.27465820312,0.240496260424455,0.150710860267282
"Saddle Pt Quad 33",40.0566161164,-105.59186516,3550.573,14.6533076946552,90.4248451819787,-0.00732047268696526,0.996499921088478,3550.2114070012,0.464530300635558,0.261772281848467
"Saddle Pt Quad 34",40.0565124161,-105.591333967,3540.934,5.76542854309082,91.7044285365513,-0.0296086212561144,0.992012890358611,3542.2901436942,0.43965585742678,0.222692310810089
"Saddle Pt Quad 35",40.0563589523,-105.59083297,3535.165,6.51599993024554,90.3141424996512,-0.00545063663208091,0.998035484796395,3535.97884695871,0.547640436461994,0.278346029775483
"Saddle Pt Quad 36",40.0562519255,-105.590211027,3531.278,5.04183332125346,70.9103326797485,0.326029974973399,0.94220109338619,3531.8622639974,0.543806577722232,0.304421429832776
"Saddle Pt Quad 37",40.056159236,-105.589651572,3528.65,1.68799998930522,177.276570626668,0.165714197216158,0.113113080937235,3529.91779436384,0.875430579696383,0.52784283884934
"Saddle Pt Quad 38",40.0560407217,-105.589124115,3529.412,2.99936363913796,196.619452674281,0.993311532077707,0.00411295220623815,3529.63292347301,0.597317950292067,0.378494631160389
"Saddle Pt Quad 39",40.0559360386,-105.588523184,3530.201,4.26909999847412,282.241796374321,0.988417274553827,-0.0997127498719125,3531.01589355469,0.459676030278206,0.270632275938988
"Saddle Pt Quad 40",40.0558233543,-105.587934204,3533.429,5.67046147126418,302.490161602314,0.533808805948435,-0.838545019169825,3534.95785757212,0.462003600138884,0.293745445517393
"Saddle Pt Quad 40A",40.0556737059,-105.587363703,3540.388,4.30874999364217,316.291831970215,0.717205841180482,-0.685699593529869,3539.53415934245,0.381772749125957,0.236551385372877
"Saddle Pt Quad 41",40.0572629588,-105.592842205,3566.349,9.75600000528189,62.1505385178786,0.459011348953636,0.869971828908293,3566.49397160457,0.372239866508887,0.236463357622807
"Saddle Pt Quad 42",40.0571139576,-105.592380704,3557.976,6.61009090596979,62.7704551003196,0.449461583896257,0.873921269792237,3558.41552734375,0.0659972964362665,0.0420204362070019
"Saddle Pt Quad 43",40.057062258,-105.591817021,3548.2,13.9168180985884,79.7741817127575,0.177417706304683,0.983533031190319,3548.91610440341,0.388089399446141,0.232986929741773
"Saddle Pt Quad 44",40.0569059883,-105.591232467,3539.18,5.70375001430511,66.8378327687581,0.386100393476,0.903078491386918,3540.64764404297,0.547371218601863,0.328011675427357
"Saddle Pt Quad 45",40.0567867632,-105.590601959,3532.384,6.20233333110809,82.1866664886475,0.135810365115127,0.989765383713601,3532.45835367839,0.423633063832919,0.217504529903332
"Saddle Pt Quad 46",40.0567213231,-105.590056206,3526.291,6.59681818702004,45.3188180056485,0.698165308421638,0.706443778909721,3527.63825017756,0.572169864719564,0.383672763000835
"Saddle Pt Quad 47",40.0565989495,-105.58955807,3524.238,7.75407144001552,197.424072742462,0.794391685992887,-0.117326089127814,3526.89831542969,0.843524030276707,0.550427515591894
"Saddle Pt Quad 48",40.0564960528,-105.588935821,3526.415,4.51615384908823,237.246846226545,0.948312206519511,-0.202465806748536,3526.71131310096,0.521312255125779,0.304277014273864
"Saddle Pt Quad 49",40.0563694388,-105.588381116,3526.632,5.90541652838389,337.120750427246,0.911384039410407,-0.384622831835208,3527.59114583333,0.538983712593714,0.310967033108075
"Saddle Pt Quad 50",40.0562190974,-105.587789593,3530.685,5.00990906628695,295.249184348366,0.395557665521283,-0.854389823322496,3531.48235529119,0.436645434661345,0.272712829438123
"Saddle Pt Quad 50A",40.056100566,-105.587294041,3536.414,4.00607143129621,95.1240700738771,0.891243059912917,0.288797539646465,3535.98625837054,0.519309854933194,0.324878954461643
"Saddle Pt Quad 51",40.057659178,-105.592813489,3561.898,16.731153854957,71.033385350154,0.323770341428003,0.942384818732446,3561.8066781851,0.31610756367445,0.209463318953147
"Saddle Pt Quad 52",40.0575459203,-105.59222991,3553.021,5.64015387571775,70.2199231661283,0.329069943943173,0.919293027486982,3553.77830153245,0.850574630957383,0.578227895956773
"Saddle Pt Quad 53",40.0574271515,-105.591585235,3542.168,9.54416664441427,47.4304997126261,0.67404147068723,0.733680994926736,3543.44441731771,0.430046178400517,0.240024783958991
"Saddle Pt Quad 54",40.0573763631,-105.591091192,3534.801,9.2554616194505,60.5864615807166,0.481658157311959,0.855395393588366,3535.68182842548,0.427146292649783,0.249663975376349
"Saddle Pt Quad 55",40.0572030096,-105.590504461,3528.089,9.48953852286706,94.085077725924,-0.0709807737819194,0.993336257812526,3528.30001126803,0.209865676668974,0.127546835977298
"Saddle Pt Quad 56",40.0571559827,-105.589895409,3521.53,6.74963634664362,11.7629090655934,0.977787046807674,0.2036207303609,3522.28753107244,0.417405380444093,0.181506892496889
"Saddle Pt Quad 57",40.057008884,-105.589358694,3521.368,3.71030767605855,79.8144621482262,0.400345087738479,0.450511083951374,3523.01784104567,0.833699483137864,0.582606813082328
"Saddle Pt Quad 58",40.0569246498,-105.588809999,3521.654,3.38714285407748,249.839715957642,0.926282332273469,-0.124955037493659,3522.482421875,0.522506937384605,0.30047012333359
"Saddle Pt Quad 59",40.056786333,-105.588221341,3524.259,6.70542856625148,337.657573154994,0.923757806703671,-0.379653508712458,3524.69855608259,0.445522595729147,0.269786398325648
"Saddle Pt Quad 60",40.0566822822,-105.587652923,3526.597,10.3729165395101,308.610084533691,0.61752851526323,-0.773557181028742,3527.41400146484,0.491888696948687,0.294731066872676
"Saddle Pt Quad 60A",40.0565799468,-105.587081461,3534.113,9.6695384979248,298.024076021635,0.466953523066993,-0.876943442008385,3533.98091947115,0.532437381836084,0.339275298210291
"Saddle Pt Quad 61",40.0581396658,-105.592550229,3551.76,13.4911428860256,44.9550713130406,0.704401514065609,0.703252906035763,3552.13185337612,0.666672608682087,0.407338729926518
"Saddle Pt Quad 62",40.0580265097,-105.592101684,3545.044,12.3660833040873,61.9593337376912,0.469167025836223,0.880904507173565,3545.52994791667,0.358662458757559,0.207919595142206
"Saddle Pt Quad 63",40.0578688327,-105.591530125,3537.267,18.9294618459848,44.8159235440768,0.706916010519633,0.702388628974967,3537.76789738582,0.064299068485315,0.0426713655201288
"Saddle Pt Quad 64",40.0578221618,-105.590875283,3528.991,12.5283331871033,58.7157503763835,0.509873302715335,0.838459809540303,3529.67724609375,0.418343541522821,0.2464131526649
"Saddle Pt Quad 65",40.0576991541,-105.590410337,3521.916,10.4178571019854,66.7983578273228,0.392277579315737,0.915226860053602,3522.43552943638,0.185746271695409,0.112687185406685
"Saddle Pt Quad 66",40.0575966575,-105.589754653,3515.337,6.24908328056335,24.5976667404175,0.896068274489162,0.410849163190227,3516.29661051432,0.269802153110504,0.140705700963736
