"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","NodeNb","date2018225","date2018242","date2019221","date2019225","date2019240","date2020222","date2020226","date2020243","date2021223","date2021224","date2021236","mean","max","sdev","ndates"
"Saddle Pt Quad 53",40.0574271515,-105.591585235,3542.168," 53",36.1900000000001,32.33,26.27,22.47,32.29,31.51,30.39,13.53,25.11,28.87,31.41,28.2154545454546,36.1900000000001,6.20840134597686,11
"Saddle Pt Quad 54",40.0573763631,-105.591091192,3534.801," 54",36.99,32.79,26.27,21.6900000000001,32.29,31.61,30.39,12.7500000000001,24.5700000000001,27.65,32.7500000000001,28.1590909090909,36.99,6.71159810260633,11
"Saddle Pt Quad 55",40.0572030096,-105.590504461,3528.089," 55",36.43,31.7500000000001,26.27,22.55,32.17,32.43,28.99,13.17,24.5700000000001,27.65,32.7500000000001,28.0663636363637,36.43,6.40427243756428,11
"Saddle Pt Quad 56",40.0571559827,-105.589895409,3521.53," 56",36.43,31.7500000000001,25.89,22.79,32.17,32.43,28.01,13.37,23.33,25.99,32.41,27.6881818181818,36.43,6.41873791049583,11
"Saddle Pt Quad 57",40.057008884,-105.589358694,3521.368," 57",37.0700000000001,31.53,25.97,22.79,30.39,30.73,28.01,13.0700000000001,23.87,25.99,31.97,27.3990909090909,37.0700000000001,6.2844784263222,11
"Saddle Pt Quad 58",40.0569246498,-105.588809999,3521.654," 58",35.47,31.53,25.97,21.59,30.39,30.73,28.59,12.37,24.81,26.59,31.97,27.2736363636364,35.47,6.27217868483875,11
"Saddle Pt Quad 59",40.056786333,-105.588221341,3524.259," 59",36.29,29.87,26.47,23.05,30.39,32.15,28.59,11.6300000000001,24.81,25.95,33.41,27.51,36.29,6.56756880435979,11
"Saddle Pt Quad 60",40.0566822822,-105.587652923,3526.597," 60",36.61,29.87,26.47,23.1900000000001,29.11,32.15,28.05,11.6300000000001,23.59,28.41,31.37,27.3136363636364,36.61,6.44461833272889,11
"Saddle Pt Quad 60A",40.0565799468,-105.587081461,3534.113,"60A",36.61,28.93,27.29,23.1900000000001,30.37,32.23,28.05,10.89,23.59,25.71,31.11,27.0881818181818,36.61,6.63415679371811,11
"Saddle Pt Quad 61",40.0581396658,-105.592550229,3551.76," 61",36.03,28.85,26.79,22.45,31.01,31.11,29.6300000000001,13.03,24.33,26.6300000000001,30.0700000000001,27.2663636363637,36.03,5.97218766069398,11
"Saddle Pt Quad 62",40.0580265097,-105.592101684,3545.044," 62",35.97,30.43,26.17,22.45,31.01,31.11,29.6300000000001,13.03,24.33,27.23,31.27,27.5118181818182,35.97,6.09262146892751,11
"Saddle Pt Quad 63",40.0578688327,-105.591530125,3537.267," 63",36.1900000000001,31.39,26.17,22.01,32.29,31.51,29.6300000000001,13.35,24.89,26.87,31.41,27.7918181818182,36.1900000000001,6.2281711893329,11
"Saddle Pt Quad 64",40.0578221618,-105.590875283,3528.991," 64",36.1900000000001,31.39,26.27,21.6900000000001,32.29,31.61,29.47,13.59,24.89,27.11,31.85,27.85,36.1900000000001,6.22624766613086,11
"Saddle Pt Quad 65",40.0576991541,-105.590410337,3521.916," 65",35.45,32.1300000000001,26.27,22.55,30.1900000000001,32.21,29.45,13.17,23.03,27.11,30.7500000000001,27.4827272727273,35.45,6.16375387391336,11
"Saddle Pt Quad 66",40.0575966575,-105.589754653,3515.337," 66",35.45,30.35,26.41,21.45,30.47,31.61,28.01,13.37,23.33,27.11,30.7500000000001,27.1190909090909,35.45,6.01043335300452,11
"Saddle Pt Quad 67",40.0574816785,-105.589217742,3516.542," 67",37.0700000000001,30.35,26.41,21.59,29.65,30.83,26.85,12.47,23.33,25.99,30.7500000000001,26.8445454545455,37.0700000000001,6.35109496643904,11
"Saddle Pt Quad 68",40.0573569558,-105.588656361,3516.923," 68",35.47,31.09,25.67,21.17,29.11,29.67,28.01,12.55,23.79,24.95,31.97,26.6772727272728,35.47,6.19428945224405,11
"Saddle Pt Quad 69",40.0572540373,-105.58808185,3518.987," 69",36.29,30.37,25.67,21.17,29.11,32.15,27.49,11.6300000000001,23.79,25.97,31.87,26.8645454545455,36.29,6.60113984647554,11
"Saddle Pt Quad 70",40.0571215519,-105.587502679,3521.854," 70",35.61,27.6900000000001,26.47,23.1900000000001,29.11,32.15,27.15,10.89,23.79,25.47,31.87,26.6718181818182,35.61,6.44291520692584,11
"Saddle Pt Quad 70A",40.0570179821,-105.586936432,3529.63,"70A",35.6900000000001,27.6900000000001,27.29,23.1900000000001,29.11,31.43,28.05,11.7500000000001,23.59,27.79,30.6900000000001,26.9336363636364,35.6900000000001,6.11681497632104,11
"Saddle Pt Quad 71",40.058564398,-105.59250437,3543.414," 71",36.03,29.6300000000001,25.09,21.89,31.01,31.81,29.43,12.81,24.11,27.99,30.0700000000001,27.2609090909091,36.03,6.18630334617606,11
"Saddle Pt Quad 72",40.0584008914,-105.591827464,3535.939," 72",35.93,29.6300000000001,26.17,22.01,31.29,31.33,29.71,12.81,23.95,26.73,30.0700000000001,27.2390909090909,35.93,6.13412985605205,11
"Saddle Pt Quad 73",40.0582885124,-105.591367318,3528.616," 73",36.11,29.6300000000001,26.17,22.01,31.29,31.61,29.47,13.59,24.89,27.23,30.77,27.5245454545455,36.11,5.97306012632781,11
"Saddle Pt Quad 74",40.0581931486,-105.590753898,3520.112," 74",36.11,30.49,24.85,21.6900000000001,30.83,32.17,29.45,12.61,24.89,27.11,31.35,27.4136363636364,36.11,6.35584655687544,11
"Saddle Pt Quad 75",40.0580666027,-105.590168093,3515.389," 75",35.45,32.1300000000001,24.85,21.73,29.41,31.61,27.51,12.61,23.03,27.11,31.35,26.9809090909091,35.45,6.31821723992688,11
"Saddle Pt Quad 76",40.0579389747,-105.589700504,3510.757," 76",35.45,30.35,25.93,21.45,29.41,31.61,27.51,12.35,23.03,27.11,30.7500000000001,26.8136363636364,35.45,6.21263756021108,11
"Saddle Pt Quad 77",40.0579253976,-105.58904868,3508.174," 77",35.59,30.35,25.93,20.55,29.65,30.05,27.51,12.45,22.31,25.77,30.79,26.45,35.59,6.24972959415045,11
"Saddle Pt Quad 78",40.0577507864,-105.588473371,3512.625," 78",35.59,30.11,25.67,21.17,29.11,29.67,26.5700000000001,12.55,23.03,25.77,30.35,26.3263636363637,35.59,6.02736305979203,11
"Saddle Pt Quad 79",40.0576811994,-105.587929675,3512.421," 79",34.99,30.11,25.67,21.17,29.11,30.43,26.87,11.6300000000001,22.89,24.77,30.5700000000001,26.2009090909091,34.99,6.23960488259545,11
"Saddle Pt Quad 80",40.057549218,-105.5873398,3514.446," 80",34.99,29.09,25.45,23.01,27.89,30.43,27.15,11.53,22.7500000000001,25.47,30.5700000000001,26.2118181818182,34.99,6.03942020094945,11
"Saddle Pt Quad 80A",40.0574014455,-105.586787932,3522.352,"80A",35.6900000000001,27.6900000000001,25.45,23.01,27.7500000000001,30.77,26.67,10.51,22.7500000000001,27.79,30.6900000000001,26.2518181818182,35.6900000000001,6.38172675407184,11
