"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","slope","aspect","aspect_norhtness","aspect_eastness","dtm","NDVI","SAVI"
"Saddle Pt Quad 01",40.0554976768,-105.593512253,3565.484,6.27799987792969,142.188995361328,-0.790037278474025,0.613058805190298,3566.31005859375,0.0618469342589378,0.0384615361690521
"Saddle Pt Quad 02",40.0553968434,-105.592895912,3555.614,7.75099992752075,129.632995605469,-0.637867608698437,0.770146034056748,3556.44311523438,0.8079913854599,0.517756879329681
"Saddle Pt Quad 03",40.0553182797,-105.592307529,3547.762,10.9659996032715,122.142997741699,-0.532034154301016,0.846722893665456,3548.41796875,0.894195795059204,0.647688508033752
"Saddle Pt Quad 04",40.0551863042,-105.591759652,3541.242,6.99300003051758,103.333999633789,-0.23062718639872,0.973042188650528,3541.86889648438,0.630303025245667,0.352321177721024
"Saddle Pt Quad 05",40.0550829683,-105.591201073,3535.568,5.70100021362305,123.554000854492,-0.552722671363062,0.833365255192032,3536.05493164062,0.639495491981506,0.37795415520668
"Saddle Pt Quad 06",40.0549849357,-105.590704481,3531.087,5.61499977111816,145.317993164062,-0.82232277700377,0.569021309285345,3532.09106445312,0.692113637924194,0.402815163135529
"Saddle Pt Quad 07",40.0548564645,-105.590135758,3528.356,0.578000009059906,126.384002685547,-0.593194132452779,0.805059451980781,3529.59692382812,0.806398689746857,0.510973751544952
"Saddle Pt Quad 08",40.0547156126,-105.589492387,3528.187,2.99600005149841,242.763000488281,-0.45767218416481,-0.889121010797637,3528.14599609375,0.557593166828156,0.343816310167313
"Saddle Pt Quad 09",40.0546036046,-105.588994637,3527.382,5.37099981307983,284.704010009766,0.25382564097633,-0.967249990427994,3529.25903320312,0.537507712841034,0.316192537546158
"Saddle Pt Quad 10",40.0545162725,-105.588372589,3533.715,11.0749998092651,232.27099609375,-0.611927489976634,-0.790913868263097,3534.46508789062,0.387007236480713,0.243083015084267
"Saddle Pt Quad 10A",40.0543984643,-105.587802465,3539.433,7.54400014877319,197.667007446289,-0.952836394262259,-0.303484440736748,3538.80297851562,0.306903213262558,0.192924350500107
"Saddle Pt Quad 11",40.0559395668,-105.59341658,3569.739,12.5659999847412,112.193000793457,-0.377727680390309,0.9259167346295,3570.78198242188,0.280853509902954,0.172531887888908
"Saddle Pt Quad 12",40.0558010506,-105.592748191,3558.653,12.9849996566772,127.093002319336,-0.603110572273593,0.797657594216854,3558.65698242188,0.38580247759819,0.227548539638519
"Saddle Pt Quad 13",40.0557318982,-105.592190359,3548.872,8.69900035858154,94.9089965820312,-0.0855733682000956,0.996331871744998,3549.65087890625,0.048820361495018,0.0337786823511124
"Saddle Pt Quad 14",40.0556441326,-105.591684788,3542.575,11.0880002975464,113.434997558594,-0.397708401803105,0.91751186757187,3543.6279296875,0.363920122385025,0.213188707828522
"Saddle Pt Quad 15",40.0555192941,-105.591060151,3537.023,4.3270001411438,58.0530014038086,0.529134551567762,0.848537934530439,3536.7041015625,0.538632154464722,0.283647000789642
"Saddle Pt Quad 16",40.0553656701,-105.590542606,3532.149,3.72900009155273,113.071998596191,-0.391887537648702,0.920013129164816,3532.80395507812,0.631501793861389,0.334540754556656
